Summary,Priority,Summary_Length
 Authentication failed when attempting Fetch command,High,52
OAuth token keeps expiring,Low,26
Unable to start SourceTree after updating from older version to 3.4.12 ,Medium,71
Keesp Asking for GitHub Login,Medium,29
Dark Theme - history changed files not displayed correctly,Low,58
Unable to know if the time is AM or PM,Low,38
"Fix for  Git Buffer Overflow - CVE-2022-41903, CVE-2022-23521",High,61
Failed to start after windows update,High,36
History view column sizes madness,High,33
Upadate embedded Git binary and create new release,High,50
Failed update from 3.4.9,Low,24
broken link,High,11
Unable to log in to Sourcetree,Medium,30
"App freezes and displays ""Not Responding"" in titlebar constantly",High,64
添加大量文件后，SourceTree会长时间无响应,Low,25
Sourcetree crashs soon after start,Highest,34
SourceTree crashes shortly after launching application.,Highest,55
Pull & Push now fails after Atlassian Logon window opens on SourceTree push,High,75
Left zone of Sourcetree - Workspace - List Branches scroll top after refresh,Low,76
Sort remote repositories dropdown list items,Low,44
$FILE expands to file name different than selected in Custom action,Low,67
Maximized SourceTree window covers taskbar when hidden taskbar is on the left of the screen,Medium,91
Error when creating pull request from SourceTree,High,48
Diff view does not show for mercurial repositories,High,50
Sourcetree reproducable fails for a basic use case (open working directory),Low,75
Upgrade from 3.4.9 failing.,Low,27
Diff Panel not showing the changes,High,34
SourceTree crashes trying to clone any repository,Low,49
Update SourceTree for Windows from 3.4.10 to 3.4.11 fails,Highest,57
"Wrong translation for ""branch"" to Italian",Low,41
Can't start SourceTree after updating to 3.4.10,Highest,47
Error when updating to 3.4.10,Low,29
SourceTree not showing the diff just says 'select a file to view the diff',Medium,74
Digital Certificate validity period has expired.,Medium,48
Interactive Rebase window keeps resizing itself,Low,47
Signing Certificate has expired,High,31
Cannot upgrade from 3.4.9.0 to 3.4.10,Low,37
SourceTree 3.4.10 seems to be positive to AgentTesla,Medium,52
Sourcetree installer Failed to start System.Management.ManagementException: Invalid class,High,89
No update,Highest,9
Sourcetree Support Website links to Mac version of suggestions and bugs,Low,71
Update fails to Sourcetree 3.4.10,Low,33
Test Bug,Highest,8
Source Tree Application Crashes on Opening,Highest,42
Source Tree Application Crashes on Opening,Highest,42
Sorcetree not installing ,High,25
Cannot update Sourcetree to 3.4.10,Low,34
Update to 3.4.10 fails with 'Method not found' exception,Medium,56
Pull button is causing issue and unable to pull the other changes,Low,65
Wake up after sleep,Medium,19
On-Prem DEVOPS repo wont connect. ,Medium,34
Software update to 3.4.10 fails,High,31
Update to v3.4.10 fails,Medium,23
Update does not work (v3.4.9 -> v3.4.10),Low,40
Update from 3.4.9 to 3.4.10 crashes and leaves sourcetree unusable.,Highest,67
Update impossible ,High,18
Source Tree install fails,High,25
PortableGcmSt.7z,High,16
Update from 3.4.9 to 3.4.10 fails,Highest,33
Upgrade 3.4.10 fails - Windows 11,High,33
Error MessageBox do not shown when there are conflicts during git cherry pick,Low,77
Cascadia Code - Selected font weight ignored,Low,44
"""Log Selected..."" should specify the selected revision on the command-line as well",Low,82
[3.4.9/Mercurial] 'Push changes immediatly to default' is always grayed out.,Medium,76
SourcetreeApp.com web site points to wrong version,High,50
Update from 3.4.9 to 3.4.10 crashes,Medium,35
Window position is restored higher than when it shut down,Low,57
Can't download latest update,Medium,28
Bad line length error since latest Sourcetree update,Medium,52
there is a fake 3.4.10 version Sourcetree,Highest,41
Resolving Conflicts for Multiple Files Only Resolves the Top File,Medium,65
Authentication Error in stash (Bitbucket Server),Highest,48
Useless popup keep coming back HEROKU login,High,43
Dropdown for Organization Repos is blank,Low,40
Update from 3.4.9 beta to 3.4.10 beta fails,Highest,43
SourceTree crashes on startup,High,29
SourceTree pushing to remote repo using embedded Git stuck on adding server's rsa2 fingerprint,High,94
git mv command is not working properly for folder renaming,High,58
"Staging modified file with name too long, is removing the file (git system)",High,75
Internal tabs don't align to tab stops in diff view,Medium,51
Context menu text not visible in dark mode,Medium,42
Context menu text not visible in dark mode,Medium,42
Cannot push changes to branch.,Medium,30
Crash when clonning repo,Low,24
Custom actions != command line,Low,30
[3.4.9] Random crashes while starting a new gitflow feature ,Low,60
Cannot Clone Repo,Highest,17
Sort remote repositories,Low,24
SourceTree should trust internal CA that are available at the OS level,Medium,70
Unable to use System Mercurial on Sourcetree for Windows,High,56
Sourcetree on my laptop cannot recognize my github repository when I try to clone. Works on windows 10 pc but laptop is windows 11. All settings are setup the same but it wont recognize the url and wont show up in organization repositories.,Low,240
SourceTree constantly displays login pop-up when user attempts to perform an operation,High,86
Putty.exe and plink.exe certificate expired,Medium,43
Source closes itself whenever trying to add new account or clone new repository,Medium,79
Git Add Issue,High,13
Support CR as a line break in diff views,Low,40
Sourcetree Logon failed on Windows,High,34
Sourcetree not updating with remote repository,High,46
Sourcetree 3.4.9 Crashes Immediately and Doesn't Install (Windows 10),Low,69
Remote repository search not working when Project Key is not part of a Project name,High,83
Sourcetree 3.4.9 Crashes Immediately and Doesn't Install (Windows 10),Low,69
Nonenglish encoding display error,Low,33
Cannot push after upgrading,Highest,27
cloning repo on GitHub using personal access token PAT,High,54
Local Repos cannot be organized if in Folders in Sourcetree window,Low,66
UX,Low,2
Potential 7z.exe vulnerability CVE-2022-29072,Low,45
Repair stash External Diff when diff tool is custom,Low,51
403 ERROR,Low,9
"Toolbar: After rebase children in source tree window and after that 'git push -f' CLI, +1 notification appears for both push and pull",Low,133
SourceTree 3.4.8 keep crashing ,Low,31
"Add a big ""continue rebase"" button on the screen after resolving conflicts.",Low,75
Copy Paste from History takes ages,Low,34
Sourcetree keeps crashing ,Low,26
Can't clone repository,Low,22
"Jump to ""History"" after each commit?",Low,36
CVE-2018-1002206 (SharpCompress.dll),Low,36
Performance down by magnitudes on certain SSDs or ports,Low,55
Git-LFS Not supported,Low,21
SourceTree Shortcut Start In path invalid,Low,41
Log Selected Fails to show and causes full crash,Low,48
Cannot open multiple repos with same name,Low,41
Keeps losing credentials,Low,24
Clone Remote - Failure to validate/accept remote repository path,Low,64
Branches are no longer fetched with my remote,Low,45
source tree closing when adding new clone,Low,41
Sourcetree Update broke authentication,Low,38
Tries to open xaml files with internet explorer,Low,47
Cannot update embedded git to v2.35.2 on windows sourcetree v3.4.8,Low,66
Sourcetree for Windows crash after a few seconds.,Low,49
Remote repositories are not listing all repositories,Low,52
Automatic refresh OAuth token,Low,29
App crash trying to add existing repo,Low,37
Force Push does not work anymore,Low,32
Windows context menu colors for dark theme,Low,42
